n_estimators,min_samples_leaf,train_accuracy,validation_accuracy,test_accuracy
600,8,0.9,0.5584905660377358,0.5306122448979592
600,10,0.8794117647058823,0.5622641509433962,0.54421768707483
600,12,0.8705882352941177,0.5735849056603773,0.5578231292517006
600,15,0.8558823529411764,0.5849056603773585,0.5578231292517006
700,8,0.8970588235294118,0.5584905660377358,0.5306122448979592
700,10,0.8794117647058823,0.5547169811320755,0.5510204081632653
700,12,0.861764705882353,0.5622641509433962,0.5510204081632653
700,15,0.8558823529411764,0.5849056603773585,0.5578231292517006
800,8,0.9029411764705882,0.5622641509433962,0.5306122448979592
800,10,0.8852941176470588,0.5622641509433962,0.54421768707483
800,12,0.8735294117647059,0.569811320754717,0.5578231292517006
800,15,0.8529411764705882,0.5886792452830188,0.54421768707483
