C,penalty,solver,train_accuracy,validation_accuracy,test_accuracy
0.01,l1,liblinear,0.7297297297297297,0.7018867924528301,0.6802721088435374
0.01,l1,saga,0.6773648648648649,0.7018867924528301,0.6802721088435374
0.01,l2,liblinear,0.7601351351351351,0.7471698113207547,0.7551020408163265
0.01,l2,saga,0.7623873873873874,0.7433962264150943,0.7551020408163265
0.1,l1,liblinear,0.7668918918918919,0.7471698113207547,0.7278911564625851
0.1,l1,saga,0.7781531531531531,0.7396226415094339,0.7142857142857143
0.1,l2,liblinear,0.7922297297297297,0.7773584905660378,0.7551020408163265
0.1,l2,saga,0.7984234234234234,0.7735849056603774,0.7551020408163265
1.0,l1,liblinear,0.7989864864864865,0.7773584905660378,0.7551020408163265
1.0,l1,saga,0.7984234234234234,0.7849056603773585,0.7551020408163265
1.0,l2,liblinear,0.8029279279279279,0.7811320754716982,0.7551020408163265
1.0,l2,saga,0.8023648648648649,0.7773584905660378,0.7551020408163265
10.0,l1,liblinear,0.8006756756756757,0.7735849056603774,0.7482993197278912
10.0,l1,saga,0.8006756756756757,0.7735849056603774,0.7482993197278912
10.0,l2,liblinear,0.7989864864864865,0.769811320754717,0.7482993197278912
10.0,l2,saga,0.7989864864864865,0.7735849056603774,0.7482993197278912
100.0,l1,liblinear,0.8006756756756757,0.7660377358490567,0.7414965986394558
100.0,l1,saga,0.8006756756756757,0.7660377358490567,0.7482993197278912
100.0,l2,liblinear,0.8012387387387387,0.7660377358490567,0.7482993197278912
100.0,l2,saga,0.8012387387387387,0.7660377358490567,0.7482993197278912
